epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,277.577,0.89821,0.63034,0.97993,0.96677,0.98648,0.99035,0.84025,0.70268,0.50673,0.89103,0.000415692,0.000415692,0.000415692
76,281.283,0.81208,0.61034,0.91076,0.96062,0.98361,0.9927,0.83527,0.67809,0.46433,0.8821,0.000413364,0.000413364,0.000413364
77,284.89,0.78028,0.53543,0.8951,0.96023,0.98858,0.99399,0.83353,0.64917,0.45274,0.87452,0.000411036,0.000411036,0.000411036
78,288.807,0.68392,0.53119,0.81811,0.94128,0.99571,0.9944,0.83264,0.6707,0.46551,0.88172,0.000408707,0.000408707,0.000408707
79,292.751,0.81629,0.57313,0.96079,0.96753,0.98341,0.99456,0.81584,0.71201,0.47272,0.89254,0.000406379,0.000406379,0.000406379
80,296.532,0.74809,0.53876,0.93744,0.96414,0.99159,0.99355,0.82492,0.73981,0.47703,0.90833,0.00040405,0.00040405,0.00040405
81,300.2,0.73971,0.51538,0.91384,0.9618,0.97907,0.99223,0.80188,0.76269,0.4741,0.9214,0.000401722,0.000401722,0.000401722
82,303.816,0.8168,0.53746,0.92249,0.95138,0.96682,0.9874,0.79125,0.84135,0.48081,0.95075,0.000399393,0.000399393,0.000399393
83,307.42,0.80173,0.5821,0.92833,0.944,0.98585,0.99302,0.81522,0.75408,0.45785,0.90547,0.000397065,0.000397065,0.000397065
84,311.02,0.92965,0.52592,1.00158,0.95067,0.98166,0.99195,0.82155,0.69891,0.44575,0.88116,0.000394736,0.000394736,0.000394736
85,314.674,0.81381,0.59061,0.91259,0.96328,0.97997,0.98939,0.83459,0.72049,0.44186,0.89076,0.000392408,0.000392408,0.000392408
86,318.343,0.85696,0.52837,0.92603,0.96231,0.98265,0.99417,0.84952,0.67314,0.4421,0.88095,0.000390079,0.000390079,0.000390079
87,322.311,0.76509,0.51459,0.92471,0.96294,0.98433,0.99436,0.83656,0.6842,0.43836,0.88297,0.000387751,0.000387751,0.000387751
88,326.133,0.71685,0.51544,0.92314,0.97269,0.99218,0.99445,0.85217,0.64292,0.41605,0.87005,0.000385422,0.000385422,0.000385422
89,329.776,0.72927,0.49843,0.89803,0.98124,0.98496,0.99457,0.85732,0.65335,0.41921,0.87066,0.000383094,0.000383094,0.000383094
90,333.492,0.81449,0.55859,0.94869,0.98155,0.98941,0.99404,0.85698,0.70919,0.42736,0.88331,0.000380765,0.000380765,0.000380765
91,337.421,0.69183,0.48981,0.8728,0.973,0.99263,0.99423,0.87226,0.68818,0.42855,0.87727,0.000378437,0.000378437,0.000378437
92,341.52,0.67595,0.48665,0.9039,0.96934,0.99458,0.99317,0.8435,0.73396,0.4343,0.89278,0.000376108,0.000376108,0.000376108
93,345.148,0.69415,0.52759,0.89031,0.97746,0.99212,0.99386,0.8442,0.74984,0.42804,0.9057,0.00037378,0.00037378,0.00037378
94,348.776,0.7032,0.51245,0.89093,0.97214,0.99539,0.994,0.85457,0.66356,0.42008,0.88164,0.000371451,0.000371451,0.000371451
95,352.35,0.68437,0.46993,0.89381,0.97262,0.99583,0.99394,0.86569,0.69325,0.42259,0.89201,0.000369123,0.000369123,0.000369123
96,355.978,0.73203,0.49928,0.89058,0.97395,0.99591,0.9944,0.84667,0.64011,0.39853,0.87049,0.000366794,0.000366794,0.000366794
97,359.631,0.81801,0.5033,0.97586,0.97742,0.98074,0.99385,0.86332,0.64895,0.40956,0.872,0.000364466,0.000364466,0.000364466
98,363.307,0.72573,0.48484,0.88782,0.97081,0.99092,0.99382,0.86594,0.66649,0.43695,0.87515,0.000362137,0.000362137,0.000362137
99,366.923,0.64813,0.46426,0.8951,0.97653,0.99417,0.99372,0.87752,0.62586,0.4135,0.86253,0.000359809,0.000359809,0.000359809
